title,link,price_whole,price_fraction,price,rating,reviews_count,image_url,asin
"8K Ultra Thin HDMI Cable 2-Pack 6.6FT, Slim HDMI 2.1 Cable High Speed HDMI Cord with Ethernet (8K@60Hz, 4K@120Hz/60Hz, Dynamic HDR, eARC) for Monitor, PS5, HDTV, RTX4090/3090, RX7900/7800",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/ZeniKon-Ethernet-Dynamic-Monitor-RTX4090/dp/B0DFYN3ZMN/ref=sr_1_11?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-11,13.,99,$13..99,4.3,17,https://m.media-amazon.com/images/I/71owzb4D8HL._AC_UY218_.jpg,B0DFYN3ZMN
330W Portable GaN AC Adapter 20V 16.5A for Lenovo Legion 9 7 pro 7i 5i 5 Y900 Y700 RTX4080 RTX4090 Yoga AIO 7 ADL330SDC3A GX21M50608 Laptop Charger Power Supply Cord,https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Portable-Adapter-RTX4080-ADL330SDC3A-GX21M50608/dp/B0D3M66LL5/ref=sr_1_12?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-12,118.,99,$118..99,4.1,14,https://m.media-amazon.com/images/I/61xZwBrvMYL._AC_UY218_.jpg,B0D3M66LL5
"PCI-E 4.0 Riser Cable, PCIe 4.0 x16 High Speed Flexible Extender Card Extension Port 90 Degree Adapter Compatible with Gen 4 GPUs, Such as RTX4090 RTX3060 RX7900, Length 15cm (White)",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Flexible-Extender-Extension-Adapter-Compatible/dp/B0DKFDVBYG/ref=sr_1_13?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-13,31.,99,$31..99,3.4,3,https://m.media-amazon.com/images/I/51+fP4Y57jL._AC_UY218_.jpg,B0DKFDVBYG
"8K Detachable HDMI Fiber Optic Cable 82Feet/25m, Long HDMI 2.1 Cable in Wall, with Dual Micro HDMI and Standard HDMI Connectors, Compatible for PC, TV, playstation4, PS5, Xbox Series X, RTX4090/4080",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/ecjtu-82Feet-Detachable-Standard-Connectors/dp/B0B4RYXWDZ/ref=sr_1_14?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-14,79.,96,$79..96,4.3,90,https://m.media-amazon.com/images/I/61b44ccX8FL._AC_UY218_.jpg,B0B4RYXWDZ
"Thermaltake LCGS View C i4790 Gaming Desktop (Intel® Core™ i9-14900KF, 64GB DDR5 5600MT/s, NVIDIA® GeForce RTX™ 4090, 2TB+2TB NVMe M.2, WiFi, Windows 11) C70S-Z790-490-LCS",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Thermaltake-Desktop-i9-14900KF-NVIDIA%C2%AE-C70S-Z790-490-LCS/dp/B0CKYQ5H2X/ref=sr_1_15?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-15,,,N/A,2.8,13,https://m.media-amazon.com/images/I/81RumAAMXPL._AC_UY218_.jpg,B0CKYQ5H2X
"Yunseity PCIE 5.0 Extender Card Cable, GPU Riser Cable, Compatible with RTX4090 (ti) and RX8900 (xt), for PC Cases, AI Applications, ITX Builds, PCIe 4.0 & WRX80SE (50cm)",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/Yunseity-Extender-Compatible-RTX4090-Applications/dp/B0DJ9PQZ72/ref=sr_1_16?crid=3FD863EYYESV7&dib=eyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4&dib_tag=se&keywords=rtx4090&qid=1743579548&sprefix=rtx4090%2Caps%2C575&sr=8-16,57.,41,$57..41,3.0,2,https://m.media-amazon.com/images/I/51yoO1CWHnL._AC_UY218_.jpg,B0DJ9PQZ72
"8K Detachable HDMI Fiber Optic Cable 82Feet/25m, Long HDMI 2.1 Cable in Wall, with Dual Micro HDMI and Standard HDMI Connectors, Compatible for PC, TV, playstation4, PS5, Xbox Series X, RTX4090/4080",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/sspa/click?ie=UTF8&spc=MToxNTUzMTMxMDA3NDQzOToxNzQzNTc5NTQ4OnNwX2J0ZjozMDA0NzIxNDM2NjIzMDI6OjA6Og&url=%2Fecjtu-82Feet-Detachable-Standard-Connectors%2Fdp%2FB0B4RYXWDZ%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3FD863EYYESV7%26dib%3DeyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4%26dib_tag%3Dse%26keywords%3Drtx4090%26qid%3D1743579548%26sprefix%3Drtx4090%252Caps%252C575%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,79.,96,$79..96,4.3,90,https://m.media-amazon.com/images/I/61b44ccX8FL._AC_UY218_.jpg,B0B4RYXWDZ
"GLOTRENDS 600mm PCIe 4.0 X16 Riser Cable (0->180 Degree), Compatible with PCIE GEN 4.0 GPU, Such as RTX4090-RTX3060, RX7900, RX6950XT-RX6500XT, etc",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/sspa/click?ie=UTF8&spc=MToxNTUzMTMxMDA3NDQzOToxNzQzNTc5NTQ4OnNwX2J0ZjozMDA2OTA3MDc5NDgyMDI6OjA6Og&url=%2FGLOTRENDS-Compatible-RTX4090-RTX3060-RX6950XT-RX6500XT-PCIE40-60-180%2Fdp%2FB0C41743F3%2Fref%3Dsr_1_18_sspa%3Fcrid%3D3FD863EYYESV7%26dib%3DeyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4%26dib_tag%3Dse%26keywords%3Drtx4090%26qid%3D1743579548%26sprefix%3Drtx4090%252Caps%252C575%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,83.,99,$83..99,4.1,266,https://m.media-amazon.com/images/I/51DBwMyF6lL._AC_UY218_.jpg,B0C41743F3
"LINKUP - Ultra PCIe 4.0 X16 Riser Cable [RTX4090 RX6950XT x570 Z690 Tested] Shielded PCI Express Gen4 Reverse PCIE Connector w/270 Degree Socket (24cm/9.44"") Compatible with NZXT H1 w/o Screw┃White",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/sspa/click?ie=UTF8&spc=MToxNTUzMTMxMDA3NDQzOToxNzQzNTc5NTQ4OnNwX2J0ZjoyMDAwNzY1MTI0NDAyNTE6OjA6Og&url=%2FLINKUP-RX6900XT-Connector-Compatible-Screw%25E2%2594%2583White%2Fdp%2FB097CHHXTQ%2Fref%3Dsr_1_19_sspa%3Fcrid%3D3FD863EYYESV7%26dib%3DeyJ2IjoiMSJ9.R5XF-BNZYhfjCmOkrDX4waUlkgFLc2kGN788-8ite72Z5Ons_C4jUTgFeUHrhgzBdzC3b00YiFcz73AeLCWGJ6ZHDVKPoGa5vr6JUzyEZCPlKjeRIhaAwUvx3H9GqrWtNTPPBYr-l9FC6w_6pqE46PLsDrt4k6uXGsUyz05G0wo3ymBRLqvhnkHAW17lVGjLRZWjdElFNwHiZ-dOo3NiwruqG6Fz6gta723QM4VwOWc.XpJcS83cEhJl3AQkhe4Yh5kcODGeGaBSCCko7XWrAw4%26dib_tag%3Dse%26keywords%3Drtx4090%26qid%3D1743579548%26sprefix%3Drtx4090%252Caps%252C575%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,53.,96,$53..96,4.5,2936,https://m.media-amazon.com/images/I/61vfys4-i3L._AC_UY218_.jpg,B097CHHXTQ
"8K Detachable HDMI Fiber Optic Cable 165Feet/50m, Long HDMI 2.1 Cable in Wall, with Dual Micro HDMI and Standard HDMI Connectors, Compatible for PC, TV, playstation4, PS5, Xbox Series X, RTX4090/4080",https://www.amazon.com/s?k=gaming&crid=2Q95QAJCPV7RS&sprefix=%2Caps%2C611&ref=nb_sb_ss_recent_2_0_recent/sspa/click?ie=UTF8&spc=MToyNjY3NTQ1NDAyNjk1MjAwOjE3NDM1Nzk1NTg6c3BfYXRmX25leHQ6MzAwNDcyMTQzNjYyMTAyOjowOjo&url=%2Fecjtu-165Feet-Detachable-Standard-Connectors%2Fdp%2FB0B4RZV9JK%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3FD863EYYESV7%26dib%3DeyJ2IjoiMSJ9.NcmaTfjnCoCMOj_YRJwRp3tsR71oOtAd6v9Q1iAaPWJeLfOiAl00sT8fS2KBNnLi8PRaDnzsMdCMBG5UoDMeJy8SQjAW5ZpbaWkHNgDI5f_n7gipApHdVrX0basaFScrJrlflh6ix40Z_2jichQI1lZDIvOX6VxXQnQNNzxSu4M6nKGF8sPS6LxBBsWL0k96naYz_CEGvPyQBhKOYgMGqXCEa0S4nWJO0k70Ngpd2dk.hFOYDI4tbZhI70XknLPmXzJERxVSFEVoWkehM_2FlqU%26dib_tag%3Dse%26keywords%3Drtx4090%26qid%3D1743579558%26sprefix%3Drtx4090%252Caps%252C575%26sr%3D8-17-spons%26xpid%3DlJRIeHiyIOGHn%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,98.,96,$98..96,4.3,90,https://m.media-amazon.com/images/I/61b44ccX8FL._AC_UY218_.jpg,B0B4RZV9JK
